"N_Policy","Company","Category","Char","Started","Expired","District","City","Gross","Net","Commissions","id"
"11529325","GENERALI","ΖΩΗΣ",NA,"24/03/2022","24/04/2022","ΑΤΤΙΚΗ","ΑΘΗΝΑ",38.89,30.75,4.3,1991
"P0132005744","AIG","ΑΥΤΟΚΙΝΗΤΩΝ","ΙΥΧ6915","09/09/2022","09/03/2023","ΑΤΤΙΚΗ","ΑΘΗΝΑ",208.07,155.54,34.14,1991
"15656374","ΕΘΝΙΚΗ Ασφαλιστική","ΖΩΗΣ",NA,"31/12/2022","31/03/2023","ΑΤΤΙΚΗ","ΑΘΗΝΑ",39.16,34.05,7.15,1991
"6192877","GROUPAMA","ΖΩΗΣ",NA,"20/10/2022","20/01/2023","ΑΤΤΙΚΗ","ΑΘΗΝΑ",83.58,71.08,14.51,1991
"11529325","GENERALI","ΖΩΗΣ",NA,"24/02/2022","24/03/2022","ΑΤΤΙΚΗ","ΑΘΗΝΑ",38.89,30.75,4.3,1991
"6175638","GROUPAMA","ΖΩΗΣ",NA,"31/01/2022","31/01/2023","ΑΤΤΙΚΗ","ΑΘΗΝΑ",60.63,45.85,9.17,1991
"11529325","GENERALI","ΖΩΗΣ",NA,"24/01/2022","24/02/2022","ΑΤΤΙΚΗ","ΑΘΗΝΑ",38.89,30.75,4.3,1991
"15656374","ΕΘΝΙΚΗ Ασφαλιστική","ΖΩΗΣ",NA,"30/06/2022","30/09/2022","ΑΤΤΙΚΗ","ΑΘΗΝΑ",33.87,29.45,6.48,1991
"15656374","ΕΘΝΙΚΗ Ασφαλιστική","ΖΩΗΣ",NA,"31/03/2022","30/06/2022","ΑΤΤΙΚΗ","ΑΘΗΝΑ",33.87,29.45,6.48,1991
"15656374","ΕΘΝΙΚΗ Ασφαλιστική","ΖΩΗΣ",NA,"30/09/2022","31/12/2022","ΑΤΤΙΚΗ","ΑΘΗΝΑ",33.87,29.45,6.48,1991
"6171303","GROUPAMA","ΖΩΗΣ",NA,"05/10/2022","05/01/2023","ΑΤΤΙΚΗ","ΑΘΗΝΑ",84.34,71.73,14.65,1991
"6194709","GROUPAMA","ΖΩΗΣ",NA,"31/10/2022","31/10/2023","ΑΤΤΙΚΗ","ΑΘΗΝΑ",136.34,118.57,23.71,1991
"6190417","GROUPAMA","ΖΩΗΣ",NA,"21/06/2022","21/09/2022","ΑΤΤΙΚΗ","ΑΘΗΝΑ",80.27,68.27,13.92,1991
"2021000909","ERGO A.A.E.Z","ΖΩΗΣ",NA,"24/02/2022","24/05/2022","ΑΤΤΙΚΗ","ΑΘΗΝΑ",110.7,89.8,16.69,1991
